Article Id,Summary,Caption,Category
225,"PM revealed he had tested positive last Friday, 27 March, and said heâ€™d be self-isolating to follow the Government advice. Boris will remain in isolation until his fever clears â€“ as such thereâ€™s no set date for the end of the PM's isolating. He was also quick to insist Brits keep up the good work and stay sensible over the weekend. Professor Neil Ferguson of Imperial College London said the rate of hospital admissions suggests social distancing guidance is making a positive difference.",Boris has been isolating in Downing Street for the past week,Complementarity
226,"Richard Michael Lamb, 48, hacked at the constables as they were booking him into custody following his arrest for attacking his partner. He also assaulted a third officer. District Judge at Bristol Magistratesâ€™ Court said the offences were â€˜mean and unforgivableâ€™ in light of the ongoing Covid-19 crisis. Chief Constable Andy Marsh said: â€˜Those who think itâ€™s acceptable to assault officers during the course of their duty can expect to be sent to prisonâ€™",Richard Michael Lamb was jailed for a year at Bristol Magistratesâ€™ Court,Equivalence
227,"Marianne Faithfull has tested positive for coronavirus and is being treated in hospital in London. The 73-year-old singerâ€™s long-time friend Penny Arcade had told the magazine that Marianne had been self-isolating but had developed a cold. Marianne has remained hospitalised after developing pneumonia, and she has other prior health issues including hepatitis C. She had also battled breast cancer in 2016, and has been open about her past struggles with drug abuse and anorexia.","Marianne Faithfull, seen here in 1973, has tested positive for coronavirus",Equivalence
228,"Myth gained traction last month after clip suggested Africa was less affected by the virus because it is â€˜not a 5G regionâ€™ UK mobile network providers have warned against the spread of the â€˜baselessâ€™ rumours. Government has said â€˜there is absolutely no credible evidence of a link between 5G and coronavirusâ€™ Experts have similarly slammed the theories, saying that viruses and the networkâ€™s electromagnetic waves are â€˜as different as chalk and cheeseâ€™",Fire services were called to extinguish a mast in Birmingham on Thursday,Complementarity
229,"Cabinet Secretary Michael Gove dismissed rumours as 'dangerous nonsense' NHS Englandâ€™s national medical director Professor Stephen Powis went further, calling them â€˜complete and utter rubbishâ€™ Videos purportedly showing masts deliberately set on fire were posted on social media after theories about the link between the mobile technology and Covid-19 circulated online. Cheers actor Woody Harrelson and former Dancing on Ice judge Jason Gardiner are among stars who have shared theories. Scientists, however, have completely rejected the claims.","Medical Director of NHS England, Professor Stephen Powis and Cabinet Secretary Michael Gove slammed the conspiracy theories",Equivalence
230,"Vets pick up subliminal messages and they are going to pick up on anxiety and stress. Owners may become distracted as they struggle with the new normal of quarantine life and could neglect their cats and dogs. Dr Chad Dodd advises against overfeeding your pet by using puzzle feeder toys to keep them busy. Instead, try to think about the positives of having your pet, and try to pass these on to them. â€˜Studies show that pets can lower blood pressure in their owners,â€™ the vet says.",Try to keep positive for your pet,Complementarity
231,"Pink has revealed she tested positive for coronavirus. The singer is currently isolating in her home with husband Carey Hart, and their two children, Willow and Jameson. More than one million people around the world have been infected by the virus, with the UK Covid-19 death toll rising to 3,605. Pink also revealed that she would be donating $1,000,000 (Â£814k) to help aid coronav virus relief in the US. The 40-year-old implored people to follow the rules and stay home.",Pink reveals she tested positive for coronavirus,Equivalence
232,"The Monarch, 93, will speak at 8pm in what will be only the fourth televised address of her 68-year-reign during times of national crisis and grief. Her Majesty will commend the UKâ€™s resolve and describe how proud she has been to see Britain pull together. The pre-recorded speech, which will also be shown on the Royal Family's social media channels, comes as the national death toll rises to 4,313 after 708 people died in 24 hours. This weekend is predicted to be the warmest of the year so far, and the Queen will express her gratitude to those who are following the government's social distancing rules and staying at home.",Her Majesty will praise the countryâ€™s resolve in a â€˜deeply personalâ€™ speech on Sunday evening,Equivalence
233,"Head of intensive care at Paris Chochin Hospital, Jean-Paul Mira, said Africa would offer better testing conditions. Comments were made on the French television channel LCI, during a discussion about Covid-19 trials set to be launched in Europe and Australia to see if the BCG tuberculosis vaccine could be used to treat the novel disease. Dr Mira apologised for his â€˜clumsyâ€™ comments, saying: â€˜I want to present all my apologies to those who were hurt, shocked and felt insultedâ€™",French doctors have been forced to apologise for suggesting it would be most effective to trial Covid-19 vaccines in Africa,Equivalence
234,"The Medicines and Healthcare products Regulatory Agency (MHRA) says it is currently investigating 14 cases of such unlicensed items being offered for sale through unauthorised websites. There are currently no medicines that are licensed specifically to treat or prevent Covid-19. The MHRA says it has already disabled nine domain names and social media accounts for selling fake coronavirus-related products. It advises that all medicines and medical devices should be bought from registered pharmacies, either from the premises or online. Suspicious products can be reported to the MHRA via their monitoring system, the Yellow Card Scheme.",There has been a rising number of bogus coronavirus testing kits and â€˜miracle curesâ€™ sold online,Equivalence
235,"Researchers from TC Biopharm near Glasgow have used the new therapy â€“ which uses immunity-building cell transfusions â€“ to successfully treat cancer. They are now hoping it will also work against the virus, and are in talks with the Government to trial the therapy for that purpose. It is hoped that the therapy will be available in NHS hospitals by July. Today the UK recorded another surge in deaths linked to people hospitalised with Covid-19, as a toll of 708 brought the official total to more than 4,000.",The lab which helped to clone Dolly the sheep are set to help in the fight against Covid-19,Complementarity
236,"Burlington Court Care Homelooks after around 90 residents with complex medical needs. Care providers confirm all fatalities were linked to Covid-19. Two members of staff have also fallen sick. Four Seasons Health Care has banned visitors to the care home. The home is liaising with public health officials and the Care Inspectorate. For all the latest news and updates on Coronavirus, click here. For our Cor onavirus live blog click here, The news of the deaths come after Four Seasons banned visitors.","Burlington Care Home
 Stepps Road, Glasgow, where 13 people died ofsuspected Covid-19",Equivalence
237,"At least eight others were injured from the attack in Romans-sur-Isere. The town is currently on lockdown due to the coronavirus pandemic. The suspect was arrested by police nearby and is yet to be identified by prosecutors. Authorities say he had no documents but claimed to be Sudanese and to have been born in 1987. French media reported that the killer first attacked a Romanian resident who had just left home for his daily walk â€“ slitting his throat in front of his girlfriend and son. The knifeman is then thought to have entered a tobacco shop, stabbed a member of staff and two customers.",Authorities are yet to establish if the attack was terrorism related,Complementarity
238,"Bovil Peter and Patrick Beckford were both support staff workers at north Londonâ€™s Pentonville Prison, and were believed to be aged in their 60s. The Prison Officersâ€™ Association (POA) said they died after suffering Covid-19 symptoms. Mr Peter was described as â€˜an experienced member of staffâ€™ who was working at operational support grade at the prison, and â€˜he died earlier this weekâ€™. Mr Fairhurst said he did not know if either of the men had any underlying health conditions. No further details have yet been released about the pair.",The two workers at Pentonville Prison have been named as Bovil Peter and Patrick Beckford,Equivalence
239,"NHS England's medical director Stephen Powis says cases have begun to â€˜stabiliseâ€™ but there is â€˜no room for complacencyâ€™ and everyone should continue to adhere strictly to lockdown rules. The UK saw another record breaking leap in Covid-19 deaths today, with another 708 people dying in the past 24 hours. Mr Powis said death figures will continue to be high for the next week or two but there was some reason to be hopeful, with the rate of new cases slowing.",NHS England national medical director Stephen Powis told the Downing Street briefing that the latest figures suggested new cases had begun to â€˜stabiliseâ€™ but stressed lockdown rules still needed to be obeyed,Equivalence
240,"Both the UK and USA are set to pass Spainâ€™s record of peak daily deaths as the Covid-19 crisis escalates. Today, the UK recorded another 708 deaths as its total deaths topped 4,000. In the USA, case and death numbers continue to rise at an alarming rate â€“ now standing at more than 300,000 and 8,000 respectively. Meanwhile, in Sweden â€“ one of the few countries not implementing a lockdown â€“ daily new infections seem to have picked up again.",The UK recorded another 708 Covid-19 linked deaths today,Equivalence
241,"A five-year-old child is among 637 people who tested positive for Covid-19 and have died, bringing the total number of confirmed reported deaths in English hospitals to 3,939. The oldest patient was 104, and 40 patients aged between 48 and 93 had no known underlying conditions. Up to 4,000 inmates in England and Wales are set to be temporarily released from jail in an effort to try and control the spread of coronavirus in the prison system. The Ministry of Justice said the selected low-risk offenders will be electronically tagged and subject to short-term release.",The UK recorded another record rise,Complementarity
242,"The Spice Girl spoke to 11 doctors and nurses from her home in the Cotswolds. She shared a clip of the interaction on Instagram on Saturday [4 April 2020] In the video, VB tells the crew: â€˜I hope youâ€™re feeling the love that the whole country is giving you' In other Victoria self-isolation news, the star recently said sheâ€™s missing 21-year-old son Brooklyn â€˜so muchâ€™, as he is currently separated from the rest of the family.",Weâ€™re just in awe of the height of Victoriaâ€™s windowâ€¦,Complementarity
243,"Single-player video games are a great way to unwind, says reader Kendle. The Witcher 3 takes up to 50 hours to beat on its own and costs just Â£15. Kendle says games make him feel better about himself and the world. He says he's never 'grown out' of video games and they're still a 'social lifeline' for people stuck inside their jobs. The reader's feature does not necessary represent the views of GameCentral or Metro. You can submit your own 500-word reader feature at any time.",The Witcher 3 â€“ getting away from it all,Equivalence
244,"Trump made the off-color remark while speaking about White House projections that between 100,000 and 240,000 Americans will be killed by Covid-19. The presidentâ€™s current wife Melania started her career as a fashion model. His second wife Marla Maples is a former beauty queen. Trump was condemned on social media for his comments, which come as the number of coronavirus diagnoses across the United States soar past 273,000. More than 7,000 people have so far been killed by the virus.","All three of Trumpâ€™s wives â€“ Melania, Marla Maples, and Ivana â€“ have worked as models",Complementarity
245,"Ireland's Covid-19 death toll now stands at 158 after another 21 people who were diagnosed with the disease died. The most recent deaths were that of nine female and 12 males, according to health authorities. Ireland also confirmed 390 new coronavirus cases, bringing the total number of detections to 4,994. Testing had dropped to 1,500 a day late last week due to issues with the availability of the testing reagent. Health Service Executive chief Paul Reid cautioned the supply of the chemicals for theTesting reagent remain a â€˜significant worldwide challengeâ€™",A laboratory technician in Dublin,Equivalence
246,"Today's jump in deaths is one of the biggest daily increase since the outbreak began. It took 17 days for the number in the UK to pass 200, and has taken a further 15 days to nearly pass 5,000. A total of 47,806 people have now tested positive for coronavirus. A week ago, on March 29, the total was 19,522. The patients that died in England were all aged between 33 and 103-years-old. The health service also confirmed that 29 of the 555 had no known underlying health conditions.",Paramedics wearing personal protective equipment transfer a patient in Watford to an ambulance,Complementarity
248,"PM spent the night at St Thomasâ€™ Hospital on Sunday where he was given oxygen treatment. Downing Street said he will stay there for â€˜as long as neededâ€™ after being admitted for tests on advice of his doctor. Mr Johnson first announced that he had tested positive for Covid-19 on March 27. He has since not been present for any of the governmentâ€™s daily press conferences, but had been pictured speaking to his Cabinet during a Zoom video call, while in isolation. Earlier this week it was announced that Mr Johnson's partner Carrie Symonds, who is pregnant, had also began showing symptoms.",Boris Johnson has been taken to hospital due to â€˜persistent coronavirus symptomsâ€™,Equivalence
249,"Dr Catherine Calderwood said her reasons for visiting the house in Fife were â€˜not legitimateâ€™ and she is â€˜truly sorry for not following advice she gave to othersâ€™ Scotlandâ€™s top doctor said she has spoken to First Minister Nicola Sturgeon and will â€˜continue to focus entirelyâ€™ on her job of advising ministers over the outbreak. Photos of Dr Calderwood and her family near a coastal retreat in Earlsferry were published in The Scottish Sun late on Saturday. Just days earlier, the 51-year-old tweeted a photo of her family at their main residence in Edinburgh.",Scotlandâ€™s chief medical officer Dr Catherine Calderwood ignored her own advice to â€˜stay at homeâ€™,Equivalence
250,"Two hangars at RAF Upper Heyford in Oxfordshire will be converted to hold 600 bodies each. Work is ready to start on two further hangars and five more are on standby if the death toll increases â€“ bringing the total capacity to 5,400. Oxfordshire County Council confirmed a temporary mortuary is being set up at the former RAF base to deal with the Covid-19 pandemic. A worker said undertakers and NHS staff are refusing to touch the bodies so they have got the military in, who will be taking the corpses in rental vans.",The site at RAF Upper Heyford,Equivalence
251,"Grief can be paralysing and isolating for people at the best of times, let alone during such an incredibly strange era when all usual coping mechanisms are officially banned. We should try to view the current situation as our new temporary normal, a stand alone day in which we just happen to be at home. Allow grief to just sit with us in the knowledge that we cannot fully process it at the moment. We need to look at today as a singular, singular, temporary entity that will happen again tomorrow as well.","Positive until the very end, with not a word of complaint, he was the bravest man I will ever know",Complementarity
301,"Some skippers have decided to leave their vessels tied up because restaurants and chippies are closed. But some are still going out to fish, and are selling what they catch online or door-to-door. Seafood industry expert Barrie Deas said: â€˜This is a good time for consumers to try different fish where they can get access to them' Much of the high-quality shellfish caught in the UK is exported to France, Italy and China, all badly affected by the pandemic.",Fishing boats at North Shields Fish Quay on the bank of the River Tyne,Complementarity
302,"PM is undergoing 'routine' tests for Covid-19 at St Thomas' Hospital in London. Downing Street has stressed the hospital visit was made on the advice of the PMâ€™s doctor because of â€˜persistent symptomsâ€™, believed to be a high temperature. In his absence, Dominic Raab, the Foreign Secretary and First Secretary of State, has taken Mr Johnson's place as de facto prime minister. Professor Chris Whitty is now out of self-isolation and back at work after showing symptoms of coronavirus.",Boris Johnson remotely chairs the Covid-19 â€˜warâ€™ meeting by video link in Downing Street last week,Complementarity
304,"A high temperature for an adult is typically considered to be 38C (100.4F) The NHS advise that any temperature 37.8C or higher can be a potential symptom of coronavirus. Other symptoms can include aches and pains, a sore throat, shortness of breath and headaches. If you think you might have Covid-19, you should stay at home and not go to a GP surgery, pharmacy or hospital â€“ but use the NHS 111 service to find out what to do.",A high temperature is one of the main symptoms of coronavirus,Equivalence
305,"British Medical Association warns of 'life-threatening' shortages of PPE. PPE stands for Personal Protective Equipment - and refers to equipment which the user must wear to protect them against health and safety risks at work. New guidelines have been issued by the government for the PPE needed by hospital workers treating patients with Covid-19. Anyone working in a hospital within two metres of a suspected or confirmed coronavirus case should wear an apron, gloves, surgical mask and eye protection. Clinicians carrying out aerosol generating procedures (AGPs) should wear a higher level of P PE.",Concerns have been raised over supplies of PPE for health workers,Equivalence
306,"In 2015, I was still living as a man and Alyssa and I had been friends for about five months. We married in the living room of my parentsâ€™ house on 1 April. They witnessed from the second floor with my brother, while a family friend officiated the vows from six feet away. We chose this date because it marked our five year anniversary. Our love continued to grow until we truly became partners. But three years later, on the day of our wedding, instead of being happy,. I was crying in our bed. Your wedding day isnâ€™t nearly as important as all the days and years that follow.",Autumn and Alyssa on their wedding day,Equivalence
307,"NHS England director Professor Stephen Powis and chief nursing officer Ruth May issued a joint statement to mind minds at rest. The pair said the countryâ€™s health service â€˜will always seek to fully protect the rights of people with disabilities, now and throughout the course of this global pandemicâ€™ It comes after concerns were raised in an open letter signed by more than 400 disability charities and campaigners claiming treatment â€˜should not be influenced by how our lives are valued by societyâ€™",Health bosses have written to reassure hundreds of UK disability rights campaigners,Equivalence
308,Hestia is one of the leading charities providing domestic abuse refuges in London. The National Domestic Abuse helpline reported a 25 per cent increase in calls and online requests for help since lockdown began. The biggest strain and concern right now isnâ€™t the virus itself â€“ itâ€™s the uncertainty. Refuges are a place where stability and routine can begin to be re-established. They are places of sanctuary away from a previous world of worry; a place for recovery to begin.,"The biggest strain and concern right now isnâ€™t the virus itself, itâ€™s the uncertainty",Equivalence
309,"Dominic Raab set to take on the day to day running of Government. He will also be chairing this morningâ€™s Cobra Committee, the Conservative MP Tobias Ellwood told Sky News. Mr Johnson was taken to St Thomas's Hospital in Westminster after continuing to display symptoms, notably a fever, 10 days after contracting Covid-19. A Downing Street Source said that he would remain there for â€˜as long as neededâ€™, Mr Ellwood said it was â€˜criticalâ€™ to get the Prime Minister back in Number 10 as soon as possible.",Dominic Raab to take over day-to-day operations from Boris Johnson Credit,Equivalence
310,"Boris Johnson was taken to an NHS hospital late Sunday in London due to â€˜persistent coronavirus symptomsâ€™ Johnson had been quarantined at home since he was confirmed to have the virus on March 26. The UK currently has over 47,000 confirmed cases and nearly 5,000 death after recording 708 new deaths on Saturday. The US, the worldâ€™s hotspot for the virus, has reported more than 336,000 cases and over 9,600 deaths as of Sunday.",Trump opened his Sunday briefing by commenting on his â€˜good friendâ€™ Boris Johnsonâ€™s coronavirus hospitalization,Complementarity
311,"Love Island's Dr Alex George has revealed that his colleagues have passed away from coronavirus as they help battle the virus on the frontline. The A&E doctor admitted that itâ€™s â€˜frighteningâ€™ knowing that more staff will lose their lives in the fight against Covid-19. He has called out those who continue to flout government guidelines to stay at home. â€˜It is absolutely heartbreaking seeing people not following the guidance. I drove past Clapham Common the other day to work and I saw people lying out and sunbathing,' he said.",Dr Alex George is battling coronavirs on the frontline,Equivalence
312,"Bass guitarist revealed he tested positive for Covid-19 three weeks ago. Spent his time at home recovering after suffering from 'Turbo-charged Flu' Duran Duran announced as final headliner for BST Hyde Park 2020. Frontman Simon Le Bon, keyboardist Nick Rhodes, John and drummer Roger Taylor will be joined by special guests Nile Rodgers & CHIC and Gwen Stefani. The band started work on their 15th studio album about a year ago. With the outbreak of the virus, the album will most likely be dropped in the autumn of 2020.",Duran Duran bassist had coronavirus but has recovered,Equivalence
314,"Sir Stelios Haji-Ioannou has called for the chief financial officer Andrew Findlay to be sacked over the â€˜uselessâ€™ deal. He said that Mr Findlayâ€™s removal â€˜was the only way to stop him writing billion-pound cheques plusâ€™ to Airbus. The demand comes days after an unsuccessful attempt to oust another director from the board. easyJet grounded all of its planes last week as demand for flights collapsed due to the coronavirus pandemic. In past four weeks, the easyJet share price has approximately halved.",easyjetâ€™s founder says the airline could be bankrupt by August or sooner if a Â£4.5 billion deal for new carriers is not cancelled,Complementarity
315,"Patsy Scott paid tribute to the late Little And Large comedian. Admitted she couldnâ€™t be by his bedside as he passed away. Her son Ryan confirmed the news of his dadâ€™s passing on Facebook. So far, coronavirus has claimed the lives of 4,934 people in the UK. A total of 47,806 people have tested positive for Covid-19. The latest figures emerged as the Health Secretary warned all outdoor exercise could be banned if people continue to flout social distancing rules.",Eddie Large passed away last week,Equivalence
316,"Gary Linekerâ€™s son George has signed up to be an NHS volunteer. The 28-year-old was never tested for coronavirus, but â€˜assumesâ€™ he was struck down with Covid-19 after experiencing symptoms related to the virus. George kept fans updated with his condition over a 15-day period and after likening the illness to a â€˜rollercoasterâ€™, heâ€™ve now signed up. The Match of the Day presenter lost his sense of smell and taste for 15 days. Coronavirus cases in the UK have almost reached 48,000.",Gary Linekerâ€™s eldest son George has signed up to be NHS volunteer after experiencing coronavirus-like symptoms,Equivalence
317,"Ada Zanusso also survived the Spanish Flu pandemic 100 years ago. Mother of four fell ill on March 17 at her care home in Biella, northern Italy. She suffered with vomiting, fever, and difficulty breathing before testing positive for Covid-19. Doctors said it was a 'sign of good hope' for the country that has become the worst hit by the global pandemic. Her recovery comes as Italy announced its lowest daily death increase in two weeks. Italyâ€™s total death toll now stands at 15,887, Italian authorities confirmed.","Ada Zanusso, 104, with Dr Carla Furno Marchese, who treated her for coronavirus in northern Italy",Complementarity
318,"ICU nurse Joanne Morell described frontline battle against Covid-19 as 'unprecedented' She revealed that ICU nurses are communicating with patientsâ€™ relatives by telephone while wearing masks. â€˜I think I cried about five times at work yesterday because I feel so desperate for the relatives,â€™ she said. This weekend the UKâ€™s death toll soared to almost 5,000. Despite this, thousands of people ignored warnings to stay at home amid sunny weather and temperatures of 20C.",Police Officers ask people sitting on the beach at Brighton to leave on Saturday,Complementarity
319,"Fierro was best known for starring in Steven Spielbergâ€™s 1975 shark epic Jaws. She played mother to Alex Kintner (played by Jeffrey Voorhees), the second victim of the killer great white shark. During her time working on the first Jaws installment, Fierro worked as a drama teacher at Island Theatre Workshop. She mentored more than 1,000 aspiring actors and worked there for more than 25 years as artistic director well into her 80s. The actress is survived by her five children, seven grandchildren and seven great-grandchildren.",Jaws actress Lee Fierro has died from coronavirus,Equivalence
320,"Derek Draper, 52, is a former lobbyist from Chorley, Lancashire. He was at the centre of the scandal known as â€˜Lobbygateâ€™ in 1998. Derek was a former advisor to Tony Blair, and political aide to the former Labour cabinet minister Peter Mandelson. The couple have two children together; Darcey, 14, and William, 11. Piers Morgan and Susanna Reid sent their well wishes to Kate and her husband, with Piers adding: â€˜This has really brought it home to us'",TV Presenter Kate Garraway and husbandDerek Draper in 2009,Equivalence
321,"Derek Draper was rushed to hospital with symptoms of Covid-19 last week. He is still suffering from the respiratory illness and is still in hospital. Kate and her husband were planning to renew their wedding vows this summer. But they cancelled their nuptials when the health crisis was declared a pandemic. So far, coronavirus has claimed the lives of 4,934 people in the UK, with a total of 47,806 people having tested positive for the illness. The latest figures emerged as the Health Secretary Matt Hancock warned all outdoor exercise could be completely banned.",Kate Garrawayâ€™s husband Derek Draper is currently battling coronavirus,Equivalence
322,"Kyle Walker held a sex party with two escorts at his flat during the coronavirus lockdown. The 29-year-old and his friend invited the two women to his apartment on Tuesday evening, just hours after he told his 1.5 million Twitter followers to strictly observe the lockdown measures in place. Louise McNamara, 21, claims she left Walkerâ€™s flat at around 2am on Wednesday morning and said she was paid Â£2,200 in cash. Walker now faces a fine from Manchester City which could be up to two weeksâ€™ salary â€“ worth around Â£240,000.",Kyle Walker has apologised after he invited two escorts to his flat last week,Equivalence
323,Housing and Communities Secretary Robert Jenrick urged Britons to stay at home as much as possible to curb the spread of coronavirus. He said there were no â€˜imminent plansâ€™ to impose greater restrictions after warnings outdoor exercise could be banned unless people played closer attention to lockdown rules. Jenrick said there is currently â€˜excess capacityâ€™ in intensive care units â€˜across the countryâ€™ which must be maintained if the country is to overcome the Covid-19 pandemic.,Housing Secretary Robert Jenrick said the end of the lockdown is in sight,Equivalence
324,"Ajax technical director Marc Overmars said the Eredivisie season should be declared over due to the outbreak of COVID-19. Ajax are currently top of the Dutch league on goal difference and would be crowned champions if the season was finished now, as looks set to be the case in the Belgian top-flight. Van Gaal is adamant that the respective leagues should finish their seasons completely and has hit out at Ajax for their response. Manchester United are not expected to furlough their non-playing staff during the coronavirus crisis.",Louis van Gaal has criticised Ajax for their response to the coronavirus crisis,Equivalence
325,"Brockwell Park in South London was closed by Lambeth Council yesterday. A host of people ignored lockdown and social distancing rules to enjoy the sunshine. Holly Willoughby and Phillip Schofield presided over a debate on the issue. TV host Matthew admitted he understood why many people, who live in flats and may not have a garden, were seemingly flouting the rules. Coleen Nolan, however, seemed to disagree with Matthewâ€™s view, arguing that the advice to stay in doors is to help everyone.","Matthew debated the issue with Holly, Phil and Coleen Nolan",Equivalence
326,"Naomi Campbell has lost someone she knows 'every day this week' The model expects the next two weeks to be even harder as she shared a heartbreaking Instagram post. 'Going into week 4, these next 2 weeks are going to be toughest yet,' she wrote. Naomi has been extra careful when leaving the house amid the pandemic, and shared the ways she protected herself while travelling before the lockdown in New York City. The 49-year-old donned a hazmat suit, gloves and mask to shield herself from the deadly virus on the plane.",Naomi reveals sheâ€™s lost a lot of people she knows,Equivalence
327,"Of 2,249 critically ill coronavirus patients analysed, more than 30% were from BME backgrounds, compared to 64.8% white. BME communities represent around 13% of the UK population according to the 2011 census. Scientists are now telling people to take advice of messages on social distancing to prevent the spread of the disease. The figures have been noticed by the South Asian Health Foundation (SAHF) who had previously highlighted anecdotal suggestions that disproportionate numbers of younger South Asian people were critically ill with the virus.",A nurse takes a swab at a Covid-19 drive-through testing station for NHS staff,Complementarity
328,"Molly Lixey made the video after a trip to the supermarket alerted her to the cross-contamination which can take place. The former emergency room nurse, from Michigan, said in the video: 'Thereâ€™s no point in wearing gloves if youâ€™re not going to wash your hands every time you touch something' Meanwhile, a doctor used TikTok to explain why you should not wear gloves to protect you from coronavirus at the supermarket. Dr Karan Rangarajan, who works as a surgeon for the NHS, explained why wearing gloves instead of regularly washing your hands could put you at greater risk.",Molly Lixey shows how easy it is to spread germs even when wearing gloves,Equivalence
329,"Lynsay Coventry, 54, died on Thursday having tested positive for Covid-19. Her devastated colleagues said they were â€˜united in griefâ€™ as they paid touching tribute to Lynsay by lining the halls with their heads bowed. Her death came a day before â€˜long-standing staff nurseâ€™ Liz Glanister died at the Royal Liverpool University Hospital, and 24-year-old nursing assistant John Alagos collapsed at home. The number of coronavirus-related hospital deaths now stands at 4,934 patients as of 5pm on Saturday.",Lynsay Coventryâ€™s colleagues at the Princess Alexandra Hospital paid tribute to her,Equivalence
330,"Piers Morgan says he's a-okay despite his 'peaky' demeanour. His make-up artist isnâ€™t at the ITV studios to help him get ready for the show. Kate Garrawayâ€™s husband Derek is battling coronavirus in intensive care. So far, coronav virus has claimed the lives of 4,934 people in the UK. Last chance to save Â£300 off the top-rated Shark robot vacuum in Amazon's Spring sale.",Piers explained why he might be looking a bit â€˜peakyâ€™,Complementarity
331,"Manchester City defender Kyle Walker apologised for inviting two escorts to his flat during the coronavirus lockdown. Louise McNamara, 21, claims she left Walkerâ€™s flat at around 2am on Wednesday morning and said she was paid Â£2,200 in cash. Walker now faces a Â£240,000 fine from City, which comes to about two week's wages. Liverpool have furloughed some of their non-playing staff despite making Ã‚Â£42m in profit last year.",Walker broke coronavirus lockdown rules last week,Equivalence
332,"Piers Morgan hit out at those who ignored coronavirus lockdown laws. The 55-year-old has been applauded for his reporting on the virus. Queen Elizabeth II compared the current crisis to World War II. But Piers insisted that, actually, weâ€™ve got it easy. Speaking to Zara Tindall and Frankie Dettori, who are raising money for the National Health Service, the former Britainâ€™s Got Talent judge stressed there is no excuse for sunbathing in public.",Thousands defied government laws to sunbathe in public over the weekend,Complementarity
333,"Piers Morgan and Susanna Reid sent their well-wishes to Kate Garraway and her husband Derek Draper as he battles coronavirus. Derek was rushed to hospital with symptoms of Covid-19 and remains in an intensive care unit. Kate had revealed that she and Derek had scrapped their plans to host a wedding vow renewal this summer once the health crisis was declared a pandemic. So far, coronav virus has claimed the lives of 4,934 people in the UK, with a total of 47,806 people having tested positive.",Kateâ€™s husband is currently battling coronavirus,Equivalence
334,"Pink revealed last week she had been struck down with Covid-19 alongside her three-year-old son, whom she shares with husband Carey Hart. In the midst of her health battle, Pink generously donated $1 million (Â£809,000) to help with coronavirus relief efforts in the US. She's now shared an update on her condition and admits itâ€™s been particularly concerning for her young son. 'It got really, really scary, Iâ€™m not gonna lie,' she said.",Pink admits her and Jamesonâ€™s coronavirus battle has been â€˜scaryâ€™,Equivalence
335,"Officers were called to Central Park Road in Newham on Saturday evening. Newham Police tweeted: â€˜This family thought law relating to social distancing shouldnâ€™t apply to 18th birthday parties. 25 guests moved onâ€™ News comes after police across London and other parts of the country despaired over the weekend as thousands chose to ignore government lockdown rules and enjoy the sunny weather. A park in Lambeth closed its gates after up to 3,000 people went out in large groups, while more than a hundred people sunbathed in Primrose Hill.",25 guests were moved on after flouting social distancing rules,Equivalence
336,"24million people tuned in to watch her majesty as she declared that the UK â€˜will succeedâ€™ in beating the deadly Covid-19. 14.1million people watched the speech on BBC One, while 5.3million witnessed the five-minute recording on ITV and 2.5million on Channel 4. Comparing the â€˜challengingâ€™ pandemic to the Second World War, the monarch, 93, said she hoped that everyone would be able to 'take pride' in their present actions.",Queen Elizabeth II gave a rare address to the public during the coronavirus pandemic,Equivalence
337,"Vera Ora, 55, is a former GP and qualified psychiatrist who retired years ago. She has now signed up as an NHS volunteer to help in the A&E department. Rita Ora has praised her mother's return to the frontlines. She said: 'My mother has always been my hero, but this pandemic has honestly made her a superhero in my eyes' The pop star added: 'Iâ€™m so happy the rest of the world has now got to see it too'",Rita Ora says her mother Vera is â€˜braveâ€™ for returning to the NHS,Equivalence
338,"The 58-year-old's voice cracked as he admitted to Lorraine Kelly being on the other side of the world from his loved ones makes the pandemic all the more difficult. But, Queen Elizabeth IIâ€™s poignant words â€“ which were watched by 24 million viewers â€“ were a comfort for millions, including Ross. â€˜I felt so much better Ross after just hearing her,â€™ Lorraine smiled. So far, coronavirus has claimed the lives of 4,934 people in the UK, with a total of 47,806 people having tested positive.",Ross King choked up over Queen Elizabeth IIâ€™s speech,Equivalence
339,"Singer Osh has informed fans that his father has passed away after catching coronavirus. The star bravely opened up about his loss, while imploring fans to follow official guidelines regarding lockdowns and self-isolation. The 24-year-old is known for songs such as My YÃ© Is Different, Excuse Me Miss and Talk To Me. At the time of writing, there were 1,245,636 cases of coronav virus around the world. So far, at least 69,321 people have died after catching the virus.",Osh bravely spoke out about the importance of self-isolation,Equivalence
340,"Eight of those killed in the last few days were bus workers. One of them worked for Transport for London and one for London Underground. Record numbers of TfL and London Underground staff are currently off work either because they themselves have Covid-19 or they are having to self-isolate due to cases at home. Despite that, almost 90% of Londonâ€™s buses and more than 55% of Tube trains are still running. â€˜My key message to everyone is unless you really, really have to use public transport to get to work or back home, stay at home, work from home,â€™ Mr Khan said.","Eight of those killed were bus workers, one person worked for TfL and another for London Underground",Equivalence
