Article ID,Summary,Caption,Category,Explanation
322,"Kyle Walker held a sex party with two escorts at his flat during the coronavirus lockdown. The 29-year-old and his friend invited the two women to his apartment on Tuesday evening, just hours after he told his 1.5 million Twitter followers to strictly observe the lockdown measures in place. Louise McNamara, 21, claims she left Walker’s flat at around 2am on Wednesday morning and said she was paid £2,200 in cash. Walker now faces a fine from Manchester City which could be up to two weeks’ salary – worth around £240,000.",Kyle Walker has apologised after he invited two escorts to his flat last week,Equivalence,"The summary and caption both explicitly mention ""Kyle Walker"". The texts directly refer to the same individual, indicating a literal equivalence through identical tokens."
323,Housing and Communities Secretary Robert Jenrick urged Britons to stay at home as much as possible to curb the spread of coronavirus. He said there were no ‘imminent plans’ to impose greater restrictions after warnings outdoor exercise could be banned unless people played closer attention to lockdown rules. Jenrick said there is currently ‘excess capacity’ in intensive care units ‘across the country’ which must be maintained if the country is to overcome the Covid-19 pandemic.,Housing Secretary Robert Jenrick said the end of the lockdown is in sight,Equivalence,"The summary and caption both mention the same person, 'Housing Secretary Robert Jenrick.' The identical name in both texts indicates a direct token-to-token equivalence related to the subject of the texts."
324,"Ajax technical director Marc Overmars said the Eredivisie season should be declared over due to the outbreak of COVID-19. Ajax are currently top of the Dutch league on goal difference and would be crowned champions if the season was finished now, as looks set to be the case in the Belgian top-flight. Van Gaal is adamant that the respective leagues should finish their seasons completely and has hit out at Ajax for their response. Manchester United are not expected to furlough their non-playing staff during the coronavirus crisis.",Louis van Gaal has criticised Ajax for their response to the coronavirus crisis,Equivalence,The caption and summary both directly refer to Louis van Gaal and Ajax's response to the coronavirus crisis. The caption confirms the summary's statement that Van Gaal criticized Ajax.
325,"Brockwell Park in South London was closed by Lambeth Council yesterday. A host of people ignored lockdown and social distancing rules to enjoy the sunshine. Holly Willoughby and Phillip Schofield presided over a debate on the issue. TV host Matthew admitted he understood why many people, who live in flats and may not have a garden, were seemingly flouting the rules. Coleen Nolan, however, seemed to disagree with Matthew’s view, arguing that the advice to stay in doors is to help everyone.","Matthew debated the issue with Holly, Phil and Coleen Nolan",Equivalence,"The summary mentions ""Matthew"" debating the issue, and the caption shows Matthew in a debate. The caption confirms Matthew's involvement, aligning with the summary."
326,"Naomi Campbell has lost someone she knows 'every day this week' The model expects the next two weeks to be even harder as she shared a heartbreaking Instagram post. 'Going into week 4, these next 2 weeks are going to be toughest yet,' she wrote. Naomi has been extra careful when leaving the house amid the pandemic, and shared the ways she protected herself while travelling before the lockdown in New York City. The 49-year-old donned a hazmat suit, gloves and mask to shield herself from the deadly virus on the plane.",Naomi reveals she’s lost a lot of people she knows,Equivalence,"The summary and caption both refer to the same information: Naomi Campbell has lost people she knows. While the caption is a shorter version, the core message is the same, indicating a token-token match."
327,"Of 2,249 critically ill coronavirus patients analysed, more than 30% were from BME backgrounds, compared to 64.8% white. BME communities represent around 13% of the UK population according to the 2011 census. Scientists are now telling people to take advice of messages on social distancing to prevent the spread of the disease. The figures have been noticed by the South Asian Health Foundation (SAHF) who had previously highlighted anecdotal suggestions that disproportionate numbers of younger South Asian people were critically ill with the virus.",A nurse takes a swab at a Covid-19 drive-through testing station for NHS staff,Complementarity,"The summary discusses the disproportionate impact of coronavirus on BME communities and the importance of social distancing. The caption shows a nurse taking a swab at a Covid-19 testing station. While related to the overall context of the pandemic, the caption provides supplementary context (a visual of testing) that is not essential to understanding the summary's core message about disparities in infection rates and preventative measures."
328,"Molly Lixey made the video after a trip to the supermarket alerted her to the cross-contamination which can take place. The former emergency room nurse, from Michigan, said in the video: 'There’s no point in wearing gloves if you’re not going to wash your hands every time you touch something' Meanwhile, a doctor used TikTok to explain why you should not wear gloves to protect you from coronavirus at the supermarket. Dr Karan Rangarajan, who works as a surgeon for the NHS, explained why wearing gloves instead of regularly washing your hands could put you at greater risk.",Molly Lixey shows how easy it is to spread germs even when wearing gloves,Equivalence,"The summary mentions Molly Lixey and her video about cross-contamination. The caption directly references Molly Lixey and her demonstration of germ spreading, indicating a literal equivalence through the shared entity ""Molly Lixey"" and the topic of germ spread."
329,"Lynsay Coventry, 54, died on Thursday having tested positive for Covid-19. Her devastated colleagues said they were ‘united in grief’ as they paid touching tribute to Lynsay by lining the halls with their heads bowed. Her death came a day before ‘long-standing staff nurse’ Liz Glanister died at the Royal Liverpool University Hospital, and 24-year-old nursing assistant John Alagos collapsed at home. The number of coronavirus-related hospital deaths now stands at 4,934 patients as of 5pm on Saturday.",Lynsay Coventry’s colleagues at the Princess Alexandra Hospital paid tribute to her,Equivalence,"The summary and the caption both explicitly mention 'Lynsay Coventry'. This direct and unambiguous textual overlap, referring to the same individual, makes it a clear case of token-token equivalence."
330,"Piers Morgan says he's a-okay despite his 'peaky' demeanour. His make-up artist isn’t at the ITV studios to help him get ready for the show. Kate Garraway’s husband Derek is battling coronavirus in intensive care. So far, coronav virus has claimed the lives of 4,934 people in the UK. Last chance to save £300 off the top-rated Shark robot vacuum in Amazon's Spring sale.",Piers explained why he might be looking a bit ‘peaky’,Complementarity,"The summary mentions Piers Morgan's 'peaky' demeanour, and the caption clarifies that he explained the reason for it. While understanding the summary doesn't require the caption, it enriches the context by providing more specific details about Piers Morgan's statement."
331,"Manchester City defender Kyle Walker apologised for inviting two escorts to his flat during the coronavirus lockdown. Louise McNamara, 21, claims she left Walker’s flat at around 2am on Wednesday morning and said she was paid £2,200 in cash. Walker now faces a £240,000 fine from City, which comes to about two week's wages. Liverpool have furloughed some of their non-playing staff despite making Â£42m in profit last year.",Walker broke coronavirus lockdown rules last week,Equivalence,"The caption directly states that 'Walker broke coronavirus lockdown rules', which is a summary of the events described in the summary. The caption and summary are referring to the same event using similar terminology."
332,"Piers Morgan hit out at those who ignored coronavirus lockdown laws. The 55-year-old has been applauded for his reporting on the virus. Queen Elizabeth II compared the current crisis to World War II. But Piers insisted that, actually, we’ve got it easy. Speaking to Zara Tindall and Frankie Dettori, who are raising money for the National Health Service, the former Britain’s Got Talent judge stressed there is no excuse for sunbathing in public.",Thousands defied government laws to sunbathe in public over the weekend,Complementarity,"The summary discusses Piers Morgan's comments on people ignoring lockdown laws, while the caption shows an example of this behavior. The caption serves as additional context to the situation described in the summary by illustrating the specific behavior Morgan is criticizing, but it isn't essential for understanding his core message."
333,"Piers Morgan and Susanna Reid sent their well-wishes to Kate Garraway and her husband Derek Draper as he battles coronavirus. Derek was rushed to hospital with symptoms of Covid-19 and remains in an intensive care unit. Kate had revealed that she and Derek had scrapped their plans to host a wedding vow renewal this summer once the health crisis was declared a pandemic. So far, coronav virus has claimed the lives of 4,934 people in the UK, with a total of 47,806 people having tested positive.",Kate’s husband is currently battling coronavirus,Equivalence,"The summary explicitly mentions ""Kate's husband Derek Draper"" is battling coronavirus, and the caption directly states ""Kate's husband is currently battling coronavirus."" The caption and the summary share the same information about the subject and the event."
334,"Pink revealed last week she had been struck down with Covid-19 alongside her three-year-old son, whom she shares with husband Carey Hart. In the midst of her health battle, Pink generously donated $1 million (£809,000) to help with coronavirus relief efforts in the US. She's now shared an update on her condition and admits it’s been particularly concerning for her young son. 'It got really, really scary, I’m not gonna lie,' she said.",Pink admits her and Jameson’s coronavirus battle has been ‘scary’,Equivalence,"The summary and caption both explicitly mention Pink's coronavirus battle. Furthermore, both refer to the fact that her son Jameson was also battling coronavirus, indicating a direct match in content."
335,"Officers were called to Central Park Road in Newham on Saturday evening. Newham Police tweeted: ‘This family thought law relating to social distancing shouldn’t apply to 18th birthday parties. 25 guests moved on’ News comes after police across London and other parts of the country despaired over the weekend as thousands chose to ignore government lockdown rules and enjoy the sunny weather. A park in Lambeth closed its gates after up to 3,000 people went out in large groups, while more than a hundred people sunbathed in Primrose Hill.",25 guests were moved on after flouting social distancing rules,Equivalence,"The summary and caption both describe the same event: 25 guests being moved on for violating social distancing rules. The caption directly reflects a key detail reported in the summary, indicating a token-token equivalence."
336,"24million people tuned in to watch her majesty as she declared that the UK ‘will succeed’ in beating the deadly Covid-19. 14.1million people watched the speech on BBC One, while 5.3million witnessed the five-minute recording on ITV and 2.5million on Channel 4. Comparing the ‘challenging’ pandemic to the Second World War, the monarch, 93, said she hoped that everyone would be able to 'take pride' in their present actions.",Queen Elizabeth II gave a rare address to the public during the coronavirus pandemic,Equivalence,"The summary refers to 'her majesty' and the caption explicitly identifies her as 'Queen Elizabeth II'. This is a case of Type-Token equivalence, where the summary uses a title, and the caption shows the specific individual holding that title."
337,"Vera Ora, 55, is a former GP and qualified psychiatrist who retired years ago. She has now signed up as an NHS volunteer to help in the A&E department. Rita Ora has praised her mother's return to the frontlines. She said: 'My mother has always been my hero, but this pandemic has honestly made her a superhero in my eyes' The pop star added: 'I’m so happy the rest of the world has now got to see it too'",Rita Ora says her mother Vera is ‘brave’ for returning to the NHS,Equivalence,"The summary mentions ""Vera Ora"" and the caption also refers to ""Vera Ora."" Both texts use the same tokens to refer to the same individual, indicating a direct match in entities."
338,"The 58-year-old's voice cracked as he admitted to Lorraine Kelly being on the other side of the world from his loved ones makes the pandemic all the more difficult. But, Queen Elizabeth II’s poignant words – which were watched by 24 million viewers – were a comfort for millions, including Ross. ‘I felt so much better Ross after just hearing her,’ Lorraine smiled. So far, coronavirus has claimed the lives of 4,934 people in the UK, with a total of 47,806 people having tested positive.",Ross King choked up over Queen Elizabeth II’s speech,Equivalence,"Both the summary and the caption explicitly mention ""Queen Elizabeth II"". This indicates a direct, unambiguous reference to the same entity using identical tokens, hence a literal equivalence based on token-to-token matching."
339,"Singer Osh has informed fans that his father has passed away after catching coronavirus. The star bravely opened up about his loss, while imploring fans to follow official guidelines regarding lockdowns and self-isolation. The 24-year-old is known for songs such as My Yé Is Different, Excuse Me Miss and Talk To Me. At the time of writing, there were 1,245,636 cases of coronav virus around the world. So far, at least 69,321 people have died after catching the virus.",Osh bravely spoke out about the importance of self-isolation,Equivalence,"The summary mentions ""Osh"" and the caption also refers to ""Osh."" This is a literal equivalence because both texts use the same token to refer to the same individual."
340,"Eight of those killed in the last few days were bus workers. One of them worked for Transport for London and one for London Underground. Record numbers of TfL and London Underground staff are currently off work either because they themselves have Covid-19 or they are having to self-isolate due to cases at home. Despite that, almost 90% of London’s buses and more than 55% of Tube trains are still running. ‘My key message to everyone is unless you really, really have to use public transport to get to work or back home, stay at home, work from home,’ Mr Khan said.","Eight of those killed were bus workers, one person worked for TfL and another for London Underground",Equivalence,The summary and caption convey the same information about the bus workers who died and their affiliation with TfL and London Underground. The texts share similar tokens referring to the same entities.
341,"Forrest Compton passed away on Sunday 5th April in New York. He was known for portraying attorney Mike Karr on The Edge of Night. Also played the stern but fair battalion commander Lieutenant Colonel Edward Gray on the 1960s sitcom Gomer Pyle, USMC. Other TV credits include The Twilight Zone, That Girl, My Three Sons, 77 Sunset Strip, Mayberry RFD, Mannix, Hogan’s Heroes among others. He retired from acting in 2002 after a multi-decade career.",Forrest Compton has passed away from coronavirus,Equivalence,"The summary and caption both explicitly mention ""Forrest Compton"". The caption reinforces the topic of the summary by providing a cause of death."
342,"The Government has faced heavy criticism over its lack of testing during the crisis. Last week, Health Secretary Matt Hancock claimed the UK will carry out 100,000 tests per day by the end of April. Professor Julian Peto insists the Government is able to arrange 10 million tests every day if it used every laboratory available in the UK. ‘We need to do 1000 times more tests than we’re doing at the moment, 100 times more than the government’s ultimate plan,’ he said.",Britain is aiming to increase its testing to get on top of the coronavirus pandemic,Equivalence,"The summary discusses the UK's testing efforts during the crisis, particularly referencing the goal of increasing testing. The caption directly states Britain's aim to increase testing to manage the coronavirus pandemic, creating a token-token relationship as both refer to testing efforts in Britain related to the same event."
343,"The Phoenix Chamber Choir have put their own coronavirus spin on Bohemian Rhapsody. They sing about flattening the coronav virus curve, life before lockdown, self isolating and, of course, that all important hand sanitiser. It comes after Canada partially closed its borders last month. Canada has over 15,500 confirmed cases of Covid-19 and 280 deaths recorded. It neighbours the US which has been heavily hit by the virus, with cases totalling more than 328,000 and the death toll rising to 9,365 deaths.",A Vancouver-based choir has put their own coronavirus spin on Queen classic Bohemian Rhapsody,Equivalence,"The summary and the caption both explicitly mention that a choir has put their own coronavirus spin on Queen classic Bohemian Rhapsody. This is a direct, unambiguous match in the core subject of both texts."
344,"The high street retailer had to shut 60% of its premises after the Government called for the closure of non-essential stores. Branches that include Post Offices or those in hospitals have remained open. WHSmith was the first retailer to issue a profits warning from the Covid-19 outbreak as the pandemic hit its travel business. The company projected £30m and £40m could be wiped off this year’s underlying pre-tax profits. The loan, it said, would help ‘strengthen its balance sheet, working capital and liquidity position’",WHSmith became the first retailer to issue a profit warning in the wake of the Covid-19 outbreak,Equivalence,"The caption and summary both explicitly mention ""WHSmith"" and the ""Covid-19 outbreak"". They share these key tokens, indicating a direct and unambiguous semantic equivalence."
345,"The number of infections is accelerating, stock markets are plummeting and airlines are cancelling flights. But are we panicking too much over Covid-19? Here are ten reasons why it might not turn out to be as bad as we fear. In China, where the disease originated, the epidemic seems to be in steep decline. We are approaching spring, when most viral infections tend to decline. Even if you are in close contact with someone who has — or who is incubating — the disease, there is still a good chance that you won't catch it.","People are pictured above wearing medical masks in London. The number of infections is accelerating, stock markets are plummeting and airlines are cancelling flights",Equivalence,"The caption repeats the first sentence from the article summary almost verbatim. This indicates a direct, token-to-token match, establishing literal equivalence between the two texts concerning the initial observations."
346,"PM's appearance was in stark contrast to that of Health Secretary Matt Hancock. At 41 Mr Hancock is 14 years the PM's junior and it is impossible to know if he contracted a milder version of the illness. All the same, Mr Johnson's washed-out look triggered alarm on social media about just how unwell he has been. It may also explain why some 12 hours later the Prime Minister felt it necessary to give an update on his condition. But he also insisted that he was feeling better. For eight days Boris has been quarantined from other ministers and officials as he has fought the virus.",Somehow it was typical of Boris Johnson to drag himself from his sick bed to the steps of Downing Street and to defy the cold by declining to wear an overcoat. But he remained stoically upright as he joined in the mass applause for the NHS (pictured),Complementarity,"The summary describes the Prime Minister's health condition and appearance after contracting the virus. The caption provides additional context by describing the scene of him joining the applause for the NHS, adding extra detail that enriches the context but isn't essential to the core message about his health."
347,"The device is made by Diagnostics for the Real World, a spin-off company from Cambridge University, and is part-owned by the medical charity Wellcome Trust. It was originally developed for screening for HIV/Aids in Africa. On Saturday the Medicines and Healthcare Products Regulatory Agency gave approval for the Samba II to be marketed in the UK. The company’s CEO and leader of the development team is Dr Helen Lee, formerly of the Department of Haematology.","Richard Pendlebury is pictured above with Doctor Helen Lee, with the devices seen on the table. The device is made by Diagnostics for the Real World, a spin-off company from Cambridge University, and is part-owned by the medical charity Wellcome Trust. It was originally developed for screening for HIV/Aids in Africa",Complementarity,"The summary describes the Samba II device and its development. The caption identifies people (Richard Pendlebury and Dr. Helen Lee) interacting with the devices, adding contextual information about the device's physical presence and associated personnel, which isn't essential to understanding the device itself."
348,"Hilary Bentwood, 49, who runs spin studio CyClub, in north London, was admitted to hospital last month with fatigue, a high temperature and extreme shortness of breath. As a cancer patient undergoing chemotherapy, Hilary understood she was at in a high-risk category for COVID-19 but said she was 'too ill to worry' It was only after she recovered that her oncologist revealed to her that she had been in a life-threatening condition. The spin studio owner and mother-of-two told how she has lost her hair as a result of chemotherapy.","Hilary Bentwood, 49, (pictured) from North-West London, who was diagnosed with stage 4 cervical cancer last year, revealed how she almost died from coronavirus last month",Equivalence,"The summary and the caption both refer to the same individual, Hilary Bentwood, and share similar factual details. This indicates a direct correspondence between the information presented, making it a token-token equivalence."
349,"The 40-year-old journalist announced her diagnosis in an Instagram post on Friday afternoon, just days after her colleague Chris Cuomo shared that he had tested positive for COVID-19. 'I am OKAY. It came on suddenly yesterday afternoon. Chills, aches, fever,' she wrote. Cuomo has been delivering updates on his condition and the severity of his coronavirus symptoms from his basement after having officially tested positive on Tuesday. He previously revealed that he was suffering a fever so debilitating that he hallucinated a conversation with his late father, former New York Governor Mario Cuomo, chipped his tooth from shivering.","Diagnosis: CNN anchor Brooke Baldwin, 40, has revealed that she has tested positive for coronavirus",Equivalence,"The summary and caption both explicitly mention Brooke Baldwin and her positive coronavirus diagnosis. The caption succinctly states the core information that is also present, with matching tokens, in the summary."
350,"The speech was pre-recorded in the White Drawing Room at Windsor Castle, where the Queen, 93, and the Duke of Edinburgh, 98, are currently in joint isolation during the coronavirus lockdown. The room is one of three semi-state rooms that were created as private apartments for George IV. They feature interiors decorated by Morel & Seddon, with a selection of furnishings and fittings taken from Carlton House, George IV's former London residence. The rooms, which also include the Crimson and Green drawing rooms, are now used by the Queen for formal entertaining.",The Queen delivered her pre-recorded speech from the White Drawing Room at Windsor Castle. Pictured: 1. Wood writing desk used in the Queen's Christmas speech; 2. Silver pen box; 3. Plant pot with small red flowers; 4. Ceramic lamp base; 5. Four-panel folding screen; 6. White striped armchair 7. 18th century cabinet; 8. Candelabra on gold base; 9. (Out of shot) portrait of a young boy with sword; 10. Axminster carpet which survived the Windsor Castle fire of 1992,Complementarity,"The summary describes the White Drawing Room at Windsor Castle, mentioning its history and use. The caption provides a detailed inventory of specific items within the room, enriching the description but not essential to understanding the main subject of the summary (the Queen's speech and location). Thus, it is a non-essential complement."
351, Erica Kelly is one of tens of thousands of people around the world to jump onto the latest food trend. She decided to take the viral four-ingredient recipe to the next level by adding Baileys and Kahlua. The non-alcoholic version has been sweeping the globe in recent weeks after videos of people making the creamy drink were widely shared and watched on TikTok. Erika shared her recipe on Instagram and in an Australian Facebook group with more than 1.7 million followers on Monday - and her post has gone viral.,Erica Kelly decided to take the viral four-ingredient dalgona coffee recipe to the next level by adding Baileys and Kahlua,Equivalence,"The summary and the caption both contain the exact same information about Erica Kelly's modifications to the dalgona coffee recipe, using identical tokens to describe the ingredients she added. There is a direct match in the factual content presented in both texts."
352,"South African teacher trapped in Wuhan, the Chinese city at the centre of the outbreak, said the infected were also spitting on elevator buttons. She is too 'afraid to go outside' in case she is struck with the deadly disease, as figures show cases have tripled in just three days. World Health Organization figures show just 2,014 patients had been struck down with the SARS-like infection by Sunday, January 26. This has now risen dramatically to 7,087, with cases in the US, Australia and Canada. 170 people have so far died after testing positive for the virus.","Jessika Bailing, a South African teacher trapped Wuhan, the Chinese city at the centre of the outbreak, said the infected were also spitting on elevator buttons",Equivalence,"The summary and caption both explicitly mention the same person (Jessika Bailing) and situation (South African teacher trapped in Wuhan, spitting on elevator buttons). The caption repeats a segment of the summary verbatim, indicating a direct match in the information presented."
353,"Virus was believed to have transferred to humans from an animal. Scientists have found striking similarities to coronavirus found in bats. DNA is also 79.5 per cent identical with the deadly SARS coronav virus. Suggests bats passed the disease on to an 'intermediate' host which was at the Huanan seafood market in Wuhan before being passed on to the 'terminal host' — humans. More than 17,200 people have been infected worldwide, higher than the total recorded cases of the SARS virus that killed 800 people in 2002 and 2003.","Researchers say bats are the hosts of a coronavirus almost completely identical to the one infecting people in the current outbreak, which began in Wuhan, China (stock image of a fruit bat)",Equivalence,"The summary discusses the origin of a virus and its link to bats, specifically mentioning similarities to coronaviruses found in bats and the location of the initial outbreak in Wuhan. The caption directly states that researchers believe bats are the hosts of a nearly identical coronavirus and confirms the outbreak's origin in Wuhan, China, thus establishing a token-token equivalence."
354,"The rapid spread of the virus has prompted some in the UK to wear them. But Public Health England says there is little evidence that masks worn outside the clinical setting will protect the public. So, if the coronavirus gets a foothold in Britain, would masks help? We asked Dr Manal Mohammed and personal protection industry expert Nick Moore to review a selection of the best-selling masks. The masks are divided into three protection levels. The lowest is an FFP1, like those used by cyclists to protect them from pollution. At the highest level, FFP3 masks keep out 99 per cent of pollutants.",Defining image of the coronavirus outbreak has been pictures of people with their faces covered by masks. Pictured: Tanith Carey,Complementarity,"The summary discusses different types of masks and their levels of protection. The caption provides a specific image of someone wearing a mask, adding a real-world example to the general discussion, but is not essential to understanding the types of masks being discussed."
355,"Greffex, a Houston, Texas-based genetic engineering company, claim they've created a coronavirus vaccine. The company told the Houston Business Journal that it had completed development of the vaccine and it is ready for animal testing and review by US regulators. It comes after UK scientists announced they'd begun testing their shot, and researchers at the University of Texas at Austin said they'd made compound they believe can serve as a vaccine. Most estimates suggest that from, testing and production could take between 18 months and two years, though Greffex has not announced its timeline.","A Houston, Texas, genetic engineering company says that it's created a vaccine to prevent the coronavirus (pictured in recolored electron microscope images) that's ready to test in animals",Equivalence,"The summary and caption both refer to the same event, that a genetic engineering company in Houston claims to have created a coronavirus vaccine. Both texts explicitly mention the company's location (Houston, Texas) and the claim of creating a vaccine."
356,"The CDC recommends 12 styles as appropriate for a face mask: clean shaven, soul patch, side whiskers, pencil, toothbrush, lampshade, Zorro, Zappa, walrus, painter's brush, Chevron and handlebar. The infographic says goatees, horseshoe and villain mustaches can work as long as hair doesn't cross the mask's seal. The CDC says facial hair can't act as a filter because it is not dense enough, meaning individual hairs are too large to capture tiny particles.",An infographic with 36 facial hairstyles shows which ones fit under a mask or respirator and which ones interfere the masks' effectiveness,Equivalence,"The summary and caption both refer to the same infographic detailing facial hairstyles and their compatibility with face masks, thus representing a token-token equivalence. Both texts directly discuss the content and purpose of the infographic."
357,"More than 90,000 people have now been infected with the disease, which is known to cause serious lung damage and deadly pneumonia. It does this by attaching to and reproducing in tissue inside the lungs, where it kills cells in the process of spreading. As the cells are killed they drop off the lungs' linings and build up in clumps inside the organs, making it hard to breathe and triggering further infections. The virus can also send the immune system into overdrive as it tries to fight off infection, triggering swelling which can lead to more breathing difficulties.","Experts say the difficulty of containing the coronavirus is that so many patients have mild, cold-like symptoms and don't realise they have the infection – but it can quickly turn deadly",Complementarity,"The caption provides additional context and details about the coronavirus infection, specifically highlighting the difficulty in containing it due to mild symptoms in many patients. While the summary describes the mechanisms of the disease, the caption enriches understanding by explaining a relevant factor in its spread, though it's not essential to understanding the core message."
358,"Coronavirus is between 10 and 20 times more fatal than SARS. But it is far less dangerous than the virus that ripped across China in 2003. The first symptom is usually a dry cough or sore throat. This can be quickly followed by a fever and then, in some cases, fatigue. Some people develop shortness of breath around the sixth day after first starting to feel unwell. Symptoms include headaches, dizziness and confusion, diarrhoea, difficulty walking, nausea or vomiting, as well as loss of appetite.","A person wearing a hazmat suit and gas mask is pictured at Nike's headquarters in Sunderland, where offices have been closed for deep cleaning after the company said employees may have come into contact with people with the coronavirus",Complementarity,"The summary describes the symptoms and severity of coronavirus. The caption provides contextual information about how a specific company is responding to potential exposure, which supplements but isn't essential to understanding the virus itself. It's an adjunct, providing information about the location and measures taken in response to the described virus."
359,"Covid-19 is a new virus - one we are still learning about. There will be many more cases in the coming days and weeks. Despite this, I genuinely believe this is not a cause for panic. At present, as you’ll no doubt have heard, most people who get this disease will experience only mild symptoms, which include a cough, sore throat, fever and aches. Just two per cent of infections are in people under 20. This could be because they get such mild symptoms that the cases aren’t picked up.","Bizarre choice: A woman travelling on a London Tube train wears a large plastic container over her head. At present, as you’ll no doubt have heard, most people who get coronavirus will experience only mild symptoms, which include a cough, sore throat, fever and aches, says Dr Ellie Cannon",Complementarity,"The summary describes Covid-19 and its symptoms, while the caption shows an image of someone taking extreme (and perhaps unnecessary) precautions and features a quote that reiterates the mild symptoms. The caption adds context about public reactions to the virus, which complements the summary's overview of the illness."
360,"WHO's director-general, Dr Tedros Adhanom Ghebreyesus, said humanity is not 'at the mercy' of the virus. More than 111,000 people around the world have now been infected with the coronavirus, which can cause pneumonia, and at least 3,892 have died. The number of new cases being diagnosed in China is now falling but outbreaks are surging elsewhere in the world, particularly in Europe and Iran. Return flights to Milan - one of the cities under lockdown - are still being offered by Ryanair, EasyJet and British Airways.","The World Health Organization's director-general, Dr Tedros Adhanom Ghebreyesus, today said there is a 'very real threat' of the coronavirus outbreak becoming a global pandemic",Equivalence,"Both the summary and the caption explicitly mention ""The World Health Organization's director-general, Dr Tedros Adhanom Ghebreyesus."" This represents an exact match of tokens referring to the same entity."
362,"Researchers from the University of Washington's Institute for Health Metrics created a model showing when deaths and hospital resource use is estimated to reach their heights from coast to coast. New York is estimated see its coronavirus deaths peak on April 10 with 798 deaths occurring that day, and 71,000 hospital beds needed. But Florida, expected by some to become the next epicenter, is not projected to see its peak until May 3. The team warns that the protections for each state is assuming that social distancing measures are maintained, such as people staying home and nursing homes barring visitors.","New York is estimated see its coronavirus deaths peak on April 10 with 798 deaths occurring that day, and 71,000 hospital beds needed",Equivalence,"The summary and the caption both contain the exact same information regarding the estimated peak of coronavirus deaths in New York. The tokens used to describe this information are identical in both texts, indicating a direct match."
363,"CDC director Dr Robert Redfield says as many as one in four coronavirus patients in the US are asymptomatic. This probably explains how cases continue to spread across the country even as strict social distancing measures are enacted. In the US, there are more than 189,000 confirmed cases of the virus - but federal health officials believe the numbers are much higher. Redfield warned that the virus will be 'with us' for the next 24 months, and agrees with Dr Anthony Fauci of the NIH that a second wave is coming in the fall.","As many as 25 percent of people with coronavirus are asymptomatic, according to CDC director Dr Robert Redfield (pictured at the White House, March 22)",Equivalence,"The summary and caption both explicitly mention ""CDC director Dr Robert Redfield"". The caption also provides a visual representation of him, creating a direct token-to-token match."
364,"Dr Maria Danilychev, who practices hospice/palliative medicine in San Diego, calculated that COVID-19, the disease caused by the virus, kills about 748 Americans every day. This means that fewer people die of chronic lung disease, Alzheimer's, diabetes, stroke, kidney disease - and even the seasonal flu. Only heart disease and cancer are more fatal, killing 1,774 and 1,641 people each day, respectively. Dr Anthony Fauci of the NIH says he believes between 100,000 and 200,000 Americans will die of coronavirus.","Dr Maria Danilychev (pictured), from San Diego, California, says coronavirus is the third-leading cause of death in the US",Equivalence,"The summary mentions ""Dr Maria Danilychev"" and the caption also refers to ""Dr Maria Danilychev."" The texts use identical tokens to refer to the same person."
365,"Leading member of the National Academy of Sciences (NAS) and former Harvard School of Public Health dean, Dr Harvey Fineberg, said he's going to start wearing a mask in public. Dr Anthony Fauci, a White House coronavirus task force member and leading infectious disease expert said that the subject of having Americans cover their faces in public is a 'very active discussion' among the committee. Research remains mixed on whether surgical masks work as well as N95 respirators and whether cloth face coverings do much at all to prevent infection.",More Americans may need to cover their faces as experts warn breathing and talking may spread coronavirus,Complementarity,"The caption reinforces the summary by providing general context. It suggests face coverings might be needed as experts warn about virus spread through breathing and talking, which is relevant but not essential for understanding the main points about Dr. Fineberg and Dr. Fauci's views on mask-wearing."
366,"University of Pittsburgh School of Medicine in Pennsylvania says it has produced a potential vaccine for coronavirus that is delivered through a fingertip-sized patch of microscopic needles. Initial tests in mice showed the inoculation produces antibodies capable of fighting off the virus within two weeks of injection. Researchers hope to start human trials in the next few months, but say the vaccine won't be available for at least a year. The race to get a vaccine to market is urgent as cases in America surpass 200,000 and states report more than 5,000 deaths.",The University of Pittsburgh School of Medicine in Pennsylvania says it has produced a potential vaccine for coronavirus that is delivered through a fingertip-sized patch of microscopic needles (pictured),Equivalence,"The summary and the caption share identical text, specifically mentioning 'University of Pittsburgh School of Medicine in Pennsylvania says it has produced a potential vaccine for coronavirus that is delivered through a fingertip-sized patch of microscopic needles.' The caption's addition of '(pictured)' doesn't change the fact that a significant portion of the text is an exact match."
367,"One Florida patient in his 70s lost the ability to speak at least temporarily. Brain scans of a woman in her 50s taken in Detroit revealed that some of her brain cells had died as a result of a rare complication of the infection. Similar attacks on the central nervous system have been seen in Italy and China. 'We need to be thinking of how we’re going to incorporate patients with severe neurological disease into our treatment paradigm,' said Dr Elissa Fory, a Henry Ford neurologist.","Dark spots in brain scans (show by arrows) indicate cell death in patients with encephalitis, the brain swelling condition a 58-year-old woman treated in Detroit developed from COVID-19 (file)",Complementarity,"The caption provides a visual aid (brain scans) that supports the summary's description of neurological effects in COVID-19 patients, giving an example of the effects described in Detroit but the summary is still understandable without the visual. Therefore, it is considered Non-Essential Complementarity."
